"2012-10-03 19:46:17", "EC2:use1", "i-1f463079", "STOPPED", "t1.micro", "292.06", "5.86", "gheller"
"2012-10-09 17:16:59", "EC2:use1", "i-3207464f", "CREATED", "m1.small", "-", "-", "bbalkit"
"2012-10-09 17:17:00", "EC2:use1", "i-3207464f", "STARTED", "m1.small", "-", "-", "bbalkit"
"2012-10-26 20:06:26", "EC2:use1", "i-3207464f", "STOPPED", "m1.small", "410.82", "32.88", "bbalkit"
"2012-10-19 12:51:52", "EC2:use1", "i-a57b92d9", "CREATED", "m1.small", "-", "-", "pwd.ec2-els.com"
"2012-10-19 12:51:53", "EC2:use1", "i-a57b92d9", "STARTED", "m1.small", "-", "-", "pwd.ec2-els.com"
"2012-11-06 11:29:13", "EC2:use1", "i-ab2c1fd7", "CREATED", "m1.small", "-", "-", ""
"2012-11-06 11:29:14", "EC2:use1", "i-ab2c1fd7", "STARTED", "m1.small", "-", "-", ""
"2012-11-07 14:29:56", "EC2:use1", "i-4deced31", "CREATED", "m1.medium", "-", "-", "CP Web"
"2012-11-07 14:29:57", "EC2:use1", "i-4deced31", "STARTED", "m1.medium", "-", "-", "CP Web"
"2012-11-07 15:08:06", "EC2:use1", "i-c34646bf", "CREATED", "m1.medium", "-", "-", "GS-CP SQL"
"2012-11-07 15:08:07", "EC2:use1", "i-c34646bf", "STARTED", "m1.medium", "-", "-", "GS-CP SQL"
"2012-11-16 13:45:12", "EC2:use1", "i-e9b0b095", "CREATED", "m1.small", "-", "-", "SNS Dev"
"2012-11-16 13:45:13", "EC2:use1", "i-e9b0b095", "STARTED", "m1.small", "-", "-", "SNS Dev"
"2012-11-16 14:54:20", "EC2:use1", "i-e9b0b095", "STOPPED", "m1.small", "1.15", "0.16", "SNS Dev"
"2012-11-10 19:45:32", "EC2:use1", "i-5c937c23", "CREATED", "m1.large", "-", "-", ""
"2012-11-10 19:45:33", "EC2:use1", "i-5c937c23", "STARTED", "m1.large", "-", "-", ""
"2012-11-16 15:04:14", "EC2:use1", "i-3077af4f", "CREATED", "t1.micro", "-", "-", "SNS Mgr. Prod."
"2012-11-16 15:04:15", "EC2:use1", "i-3077af4f", "STARTED", "t1.micro", "-", "-", "SNS Mgr. Prod."
"2012-11-16 15:14:14", "EC2:use1", "i-3077af4f", "STOPPED", "t1.micro", "0.17", "0.02", "SNS Mgr. Prod."
"2012-11-21 18:04:51", "EC2:use1", "i-a92f4bd6", "CREATED", "t1.micro", "-", "-", "Subscription-Manager"
"2012-11-21 18:04:52", "EC2:use1", "i-a92f4bd6", "STARTED", "t1.micro", "-", "-", "Subscription-Manager"
"2012-11-05 13:06:23", "EC2:usw1", "i-8ae675cc", "STOPPED", "m1.medium", "3359.89", "537.60", "Dynatrace Collector"
"2012-11-05 13:06:23", "EC2:usw1", "i-3ce5767a", "STOPPED", "m1.medium", "3359.22", "537.60", "Dynatrace Collector"
"2012-11-05 13:17:00", "EC2:usw2", "i-9b08e4a8", "STOPPED", "m1.medium", "0.06", "0.16", "dynatrace-collector-plugin"
"2012-12-10 14:59:16", "EC2:usw2", "i-95a04aa6", "CHANGED", "m1.large", "-", "-", "dtserver-prod01 - 10.252.14.213 -> 10.252.138.54"
"2012-10-10 11:03:08", "EC2:usw2", "i-95a04aa6", "CREATED", "m1.xlarge", "-", "-", "dtserver-prod01"
"2012-10-10 11:03:09", "EC2:usw2", "i-95a04aa6", "STARTED", "m1.xlarge", "-", "-", "dtserver-prod01"
"2012-06-18 09:57:56", "EC2:usw2", "i-1da14b2e", "CREATED", "m1.medium", "-", "-", "Dynatrace Collector"
"2012-06-18 09:57:57", "EC2:usw2", "i-1da14b2e", "STARTED", "m1.medium", "-", "-", "Dynatrace Collector"
"2012-11-05 13:13:32", "EC2:usw2", "i-a5a14b96", "CREATED", "m1.medium", "-", "-", "Dynatrace Collector"
"2012-11-05 13:13:33", "EC2:usw2", "i-a5a14b96", "STARTED", "m1.medium", "-", "-", "Dynatrace Collector"
"2012-11-05 13:17:00", "EC2:usw2", "i-a5a14b96", "STOPPED", "m1.medium", "0.06", "0.16", "Dynatrace Collector"
"2012-06-18 10:39:50", "EC2:usw2", "i-138f7a20", "CREATED", "m1.medium", "-", "-", "dynaTrace Analysis Server"
"2012-06-18 10:39:51", "EC2:usw2", "i-138f7a20", "STARTED", "m1.medium", "-", "-", "dynaTrace Analysis Server"
"2012-06-18 10:45:28", "EC2:usw2", "i-818f7ab2", "CREATED", "m1.medium", "-", "-", "dtanalysisserver-test01"
"2012-06-18 10:45:29", "EC2:usw2", "i-818f7ab2", "STARTED", "m1.medium", "-", "-", "dtanalysisserver-test01"
"2012-09-06 06:55:49", "EC2:usw2", "i-8707f3b4", "CREATED", "t1.micro", "-", "-", "dttest-petstoreagent"
"2012-09-06 06:55:50", "EC2:usw2", "i-8707f3b4", "STARTED", "t1.micro", "-", "-", "dttest-petstoreagent"
"2012-09-06 07:14:49", "EC2:usw2", "i-8707f3b4", "STOPPED", "t1.micro", "0.32", "0.02", "dttest-petstoreagent"
"2012-10-18 01:18:39", "EC2:usw2", "i-590efc6a", "CREATED", "m1.medium", "-", "-", "Dynatrace Agent EasyTravel"
"2012-10-18 01:18:40", "EC2:usw2", "i-590efc6a", "STARTED", "m1.medium", "-", "-", "Dynatrace Agent EasyTravel"
"2012-07-05 21:28:20", "EC2:usw2", "i-854096b6", "CREATED", "t1.micro", "-", "-", "CK AU Redirect Server"
"2012-07-05 21:28:21", "EC2:usw2", "i-854096b6", "STARTED", "t1.micro", "-", "-", "CK AU Redirect Server"
"2012-09-06 07:14:14", "EC2:usw2", "i-e9d9b9da", "CREATED", "t1.micro", "-", "-", "testserver-01"
"2012-09-06 07:14:15", "EC2:usw2", "i-e9d9b9da", "STARTED", "t1.micro", "-", "-", "testserver-01"
"2012-09-06 22:42:02", "EC2:usw2", "i-4bccaf78", "CREATED", "t1.micro", "-", "-", "GG"
"2012-09-06 22:42:03", "EC2:usw2", "i-4bccaf78", "STARTED", "t1.micro", "-", "-", "GG"
"2012-10-09 15:42:50", "EC2:usw2", "i-2f3d601c", "CREATED", "m1.large", "-", "-", "SolarWind SEUM Production"
"2012-10-09 15:42:51", "EC2:usw2", "i-2f3d601c", "STARTED", "m1.large", "-", "-", "SolarWind SEUM Production"
"2012-11-02 14:51:31", "EC2:usw2", "i-2f3d601c", "STOPPED", "m1.large", "575.14", "184.32", "SolarWind SEUM Production"
"2012-10-16 12:50:28", "EC2:usw2", "i-3d694e0e", "CREATED", "m1.large", "-", "-", "zabbix-devops PROD"
"2012-10-16 12:50:29", "EC2:usw2", "i-3d694e0e", "STARTED", "m1.large", "-", "-", "zabbix-devops PROD"
"2012-10-29 17:28:14", "EC2:usw2", "i-ebc5f0d8", "CREATED", "m1.xlarge", "-", "-", "dtserver-prod02"
"2012-10-29 17:28:15", "EC2:usw2", "i-ebc5f0d8", "STARTED", "m1.xlarge", "-", "-", "dtserver-prod02"
"2012-10-29 17:46:03", "EC2:usw2", "i-29c6f31a", "CREATED", "m1.xlarge", "-", "-", "dtserver-prod03 "
"2012-10-29 17:46:04", "EC2:usw2", "i-29c6f31a", "STARTED", "m1.xlarge", "-", "-", "dtserver-prod03 "
"2012-11-07 20:18:41", "EC2:usw2", "i-29c6f31a", "STOPPED", "m1.xlarge", "218.54", "0.00", "dtserver-prod03 "
"2012-10-26 15:17:54", "EC2:usw2", "i-a3576090", "CREATED", "m1.small", "-", "-", "SolarWind SEUM SQL Production"
"2012-10-26 15:17:55", "EC2:usw2", "i-a3576090", "STARTED", "m1.small", "-", "-", "SolarWind SEUM SQL Production"
"2012-11-28 22:45:27", "EC2:usw2", "i-34886b06", "CREATED", "m1.medium", "-", "-", "zabbix-devops DEV"
"2012-11-28 22:45:28", "EC2:usw2", "i-34886b06", "STARTED", "m1.medium", "-", "-", "zabbix-devops DEV"
"2012-11-13 00:33:48", "EC2:apse1", "i-a756b8f0", "CREATED", "m1.medium", "-", "-", "Datong-SQL"
"2012-11-13 00:33:49", "EC2:apse1", "i-a756b8f0", "STARTED", "m1.medium", "-", "-", "Datong-SQL"
"2012-11-19 13:00:51", "EC2:apse1", "i-a756b8f0", "STOPPED", "m1.medium", "156.45", "25.12", "Datong-SQL"
"2012-11-15 03:26:46", "EC2:apse1", "i-9bb55ecc", "CREATED", "m1.medium", "-", "-", "Datong-WEB"
"2012-11-15 03:26:47", "EC2:apse1", "i-9bb55ecc", "STARTED", "m1.medium", "-", "-", "Datong-WEB"
"2012-11-16 02:28:09", "EC2:apse1", "i-9bb55ecc", "STOPPED", "m1.medium", "23.02", "3.84", "Datong-WEB"
